Date,AAPL,JPM,AMZN,GOOGL,NSRGY,^GSPC
2022/5/31,146.6819153,121.822525,120.2095032,113.2206955,115.0654144,4132.149902
2022/6/1,146.5537872,119.6851501,121.6839981,113.3500748,112.5652161,4101.22998
2022/6/2,149.0175323,121.6106644,125.5110016,117.0628281,113.6785126,4176.819824
2022/6/3,143.2720795,119.9154739,122.3499985,113.9959869,112.3670883,4108.540039
2022/6/6,144.0210571,119.5193176,124.7900009,116.2646408,112.0085754,4121.430176
2022/6/7,146.5537872,119.8325653,123,116.5920792,110.4801559,4160.680176
2022/6/8,145.8146973,117.9254837,121.1800003,116.6363678,107.8478699,4115.77002
2022/6/9,140.5718536,115.447197,116.1500015,114.289093,105.3288193,4017.820068
2022/6/10,135.1417084,110.1405563,109.6500015,110.6325684,104.772171,3900.860107
2022/6/13,129.9678192,106.8607559,103.6699982,105.886261,104.1023026,3749.629883
2022/6/14,130.8350677,105.0826569,102.3099976,106.2077255,101.9606323,3735.47998
2022/6/15,133.4663391,106.326416,107.6699982,109.242218,102.02668,3789.98999
2022/6/16,128.1742096,104.5022583,103.6600037,105.5289764,103.0739212,3666.77002
2022/6/17,129.6524658,104.133728,106.2200012,106.6336823,103.0833588,3674.840088
2022/6/21,133.8999786,106.7133484,108.6800003,111.0132523,104.772171,3764.790039
2022/6/22,133.3875122,106.1145096,108.9499969,110.957016,107.2817993,3759.889893
2022/6/23,136.2651672,104.9536819,112.4400024,111.7079239,106.9610214,3795.72998
2022/6/24,139.6060333,108.0860672,116.4599991,117.4136505,110.2631531,3911.73999
2022/6/27,139.6060333,107.2200699,113.2200012,115.2823486,110.8764038,3900.110107
2022/6/28,135.4472046,106.7041321,107.4000015,111.4745407,108.168663,3821.550049
2022/6/29,137.2112732,106.2250748,108.9199982,111.1699982,110.7254562,3818.830078
2022/6/30,134.7376251,103.7467957,106.2099991,108.4445267,109.8102875,3785.379883
2022/7/1,136.9156036,105.0734482,109.5599976,108.220108,111.329277,3825.330078
2022/7/5,139.5074768,104.67379,113.5,112.7240753,110.8386765,3831.389893
2022/7/6,140.8477478,103.9952774,114.3300018,114.0268402,111.7161026,3845.080078
2022/7/7,144.2280273,106.6256256,116.3300018,118.2177963,110.9896317,3902.620117
2022/7/8,144.9080353,106.2910156,115.5400009,118.7855911,110.4990234,3899.379883
2022/7/11,142.7694855,104.8968506,111.75,115.126091,110.6688538,3854.429932
2022/7/12,143.7451172,104.9990921,109.2200012,113.4779739,110.6216812,3818.800049
2022/7/13,143.3804932,104.0138779,110.4000015,110.8236618,109.9801102,3801.780029
2022/7/14,146.317276,100.3797684,110.6299973,109.8423538,108.7724762,3790.379883
2022/7/15,147.9926453,104.9804916,113.5500031,111.245636,110.9141464,3863.159912
2022/7/18,144.9376068,103.9023514,113.7600021,108.5112076,110.3386307,3830.850098
2022/7/19,148.8105927,106.4769058,118.2099991,113.2684708,112.2255707,3936.689941
2022/7/20,150.8210297,106.4583206,122.7699966,113.3580399,110.1499405,3959.899902
2022/7/21,153.0975494,107.1832886,124.6299973,113.7959442,112.3953934,3998.949951
2022/7/22,151.8557892,106.662796,122.4199982,107.3865891,113.6219025,3961.629883
2022/7/25,150.7323303,107.0903473,121.1399994,106.9984436,114.4144135,3966.840088
2022/7/26,149.4019012,105.4173355,114.8099976,104.5202866,115.0842819,3921.050049
2022/7/27,154.5166168,107.1089325,120.9700012,112.5220337,116.3768234,4023.610107
2022/7/28,155.0685272,106.7092667,122.2799988,113.6765213,116.2730484,4072.429932
2022/7/29,160.1536865,107.2204514,134.9499969,115.7665253,115.9145279,4130.290039
2022/8/1,159.1681824,106.1515884,135.3899994,114.3134766,116.7070389,4118.629883
2022/8/2,157.6899414,104.4971924,134.1600037,114.5821838,115.178627,4091.189941
2022/8/3,163.7212524,105.5939255,139.5200043,117.5181503,114.772934,4155.169922
2022/8/4,163.4058838,104.4321289,142.5700073,117.6276321,115.3484573,4151.939941
2022/8/5,163.178894,107.5922546,140.8000031,116.9110565,113.7351227,4145.189941
2022/8/8,162.7051849,106.2817154,139.4100037,116.7418671,113.8483353,4140.060059
2022/8/9,162.7545166,107.2390518,137.8300018,116.0750427,113.9521179,4122.470215
2022/8/10,167.0178375,110.0366745,142.6900024,119.1304398,114.4804535,4210.240234
2022/8/11,166.2776642,111.6631927,140.6399994,118.2745285,115.0842819,4207.27002
2022/8/12,169.8402863,113.5127792,143.5500031,121.1010208,115.0937119,4280.149902
2022/8/15,170.9159393,113.8194885,143.1799927,121.4991226,115.6503601,4297.140137
2022/8/16,170.7580566,114.9069443,144.7799988,121.1209259,114.8201065,4305.200195
2022/8/17,172.2580719,113.9403076,142.1000061,118.9811554,115.7069702,4274.040039
2022/8/18,171.8633423,113.0573502,142.3000031,119.5982056,115.2635345,4283.740234
2022/8/19,169.2678986,110.2597275,138.2299957,116.6522903,115.556015,4228.47998
2022/8/22,165.3697357,108.4380264,133.2200012,113.6964188,114.2917633,4137.990234
2022/8/23,165.0341949,107.3691559,133.6199951,113.3182297,112.8482666,4128.72998
2022/8/24,165.3302612,107.6294098,133.8000031,113.1490479,113.3388596,4140.77002
2022/8/25,167.7974243,110.1853867,137.2799988,116.0949554,114.697464,4199.120117
2022/8/26,161.4716187,106.5791473,130.75,109.8149796,112.2727432,4057.659912
2022/8/29,159.2610321,106.3189087,129.7899933,108.8993607,112.6029587,4030.610107
2022/8/30,156.8234406,106.3374939,128.7299957,108.4216461,111.0462265,3986.159912
2022/8/31,155.1556396,105.7054749,126.7699966,107.7050705,110.4424133,3955
2022/9/1,155.8859406,106.4304352,127.8199997,109.2178345,109.1970291,3966.850098
2022/9/2,153.7641449,105.686882,127.5100021,107.3368225,107.5082245,3924.26001
2022/9/6,152.5009308,105.7147522,126.1100006,106.3017654,107.0270615,3908.189941
2022/9/7,153.9121704,107.7223587,129.4799957,108.9292145,107.6969299,3979.870117
2022/9/8,152.4318695,110.2318573,129.8200073,107.8643036,107.0647964,4006.179932
2022/9/9,155.3036652,110.7616272,133.2700043,110.1235046,110.0272903,4067.360107
2022/9/12,161.2840881,112.0721664,136.4499969,110.3325043,110.4141083,4110.410156
2022/9/13,151.8200073,108.1777878,126.8199997,103.8236237,108.8479538,3932.689941
2022/9/14,153.2707062,107.9268341,128.5500031,104.5003891,107.074234,3946.01001
2022/9/15,150.3693237,109.55336,126.2799988,102.4203415,106.2439804,3901.350098
2022/9/16,148.7212372,108.8191071,123.5299988,102.3108597,104.6778183,3873.330078
2022/9/19,152.4516144,109.8228989,124.6600037,102.5795746,105.5929871,3899.889893
2022/9/20,154.8398438,107.6572876,122.1900024,100.6587524,103.7532272,3855.929932
2022/9/21,151.7015991,104.5529633,118.5400009,98.80760193,102.7531509,3789.929932
2022/9/22,150.7344666,103.3632736,117.3099976,99.66350555,103.3664017,3757.98999
2022/9/23,148.4548035,101.4393234,113.7799988,98.27017975,102.7059708,3693.22998
2022/9/26,148.790329,99.25512695,115.1500015,97.70288086,101.0926437,3655.040039
